tanggal,waktu,tree_id,suhu_tanah,kelembaban_tanah,ph_tanah,jarak_ring,riwayat_infeksi,risiko_probabilitas_pct,status_aktual_lapangan
2026-07-02,08:00:00,T-3-12,24.5,80.3,5.3,3,0,26.35,Gejala Ringan
2026-07-02,08:00:00,T-3-13,25.3,83.9,6.5,3,0,22.45,Gejala Ringan
2026-07-02,08:00:00,T-3-14,28.3,77.5,5.9,3,0,22.85,Gejala Ringan
2026-07-02,08:00:00,T-3-15,26.1,86.9,5.2,3,0,29.07,Gejala Ringan
2026-07-02,08:00:00,T-3-16,31.0,88.4,5.7,3,0,26.97,Gejala Ringan
2026-07-02,08:00:00,T-3-17,24.9,67.1,6.5,3,0,17.95,Sehat
2026-07-03,08:00:00,T-0,31.1,88.8,5.8,0,0,100.00,Sehat
2026-07-03,08:00:00,T-1-0,24.1,76.9,5.8,1,0,86.18,Terinfeksi Berat
2026-07-03,08:00:00,T-1-1,25.0,83.0,6.4,1,0,84.30,Terinfeksi Berat
2026-07-03,08:00:00,T-1-2,25.1,65.7,5.6,1,0,76.26,Terinfeksi Berat
2026-07-03,08:00:00,T-1-3,29.9,78.6,5.7,1,0,89.63,Terinfeksi Berat
2026-07-03,08:00:00,T-1-4,30.6,72.6,5.1,1,0,92.53,Terinfeksi Berat
2026-07-03,08:00:00,T-1-5,24.8,83.0,5.4,1,0,99.00,Terinfeksi Berat
2026-07-03,08:00:00,T-2-0,31.1,72.9,6.3,2,0,32.74,Gejala Ringan
2026-07-03,08:00:00,T-2-1,28.8,91.6,5.9,2,0,43.93,Gejala Sedang
2026-07-03,08:00:00,T-2-2,29.1,82.9,5.0,2,0,46.91,Gejala Sedang
2026-07-03,08:00:00,T-2-3,30.1,74.3,6.0,2,0,35.04,Gejala Ringan
2026-07-03,08:00:00,T-2-4,26.2,77.1,5.9,2,0,36.97,Gejala Ringan
2026-07-03,08:00:00,T-2-5,24.1,90.1,6.5,2,0,39.22,Gejala Ringan
2026-07-03,08:00:00,T-2-6,24.7,87.8,6.2,2,0,40.07,Gejala Sedang
2026-07-03,08:00:00,T-2-7,26.1,85.7,5.3,2,0,45.75,Gejala Sedang
2026-07-03,08:00:00,T-2-8,27.4,69.7,5.3,2,0,37.21,Gejala Ringan
2026-07-03,08:00:00,T-2-9,31.5,77.5,5.9,2,0,37.16,Gejala Ringan
2026-07-03,08:00:00,T-2-10,28.6,67.3,6.1,2,0,31.21,Gejala Ringan
2026-07-03,08:00:00,T-2-11,31.7,75.5,6.1,2,0,35.02,Gejala Ringan
2026-07-03,08:00:00,T-3-0,29.8,93.7,6.2,3,0,26.29,Gejala Ringan
2026-07-03,08:00:00,T-3-1,31.7,90.0,5.8,3,0,26.99,Gejala Ringan
2026-07-03,08:00:00,T-3-2,28.9,66.1,5.4,3,0,21.29,Gejala Ringan
2026-07-03,08:00:00,T-3-3,25.9,85.2,5.8,3,0,25.55,Gejala Ringan
2026-07-03,08:00:00,T-3-4,26.6,66.5,5.8,3,0,19.94,Sehat
2026-07-03,08:00:00,T-3-5,27.7,85.1,6.1,3,0,24.26,Gejala Ringan
2026-07-03,08:00:00,T-3-6,28.0,77.3,5.4,3,0,24.90,Gejala Ringan
2026-07-03,08:00:00,T-3-7,27.8,67.6,5.9,3,0,19.93,Sehat
2026-07-03,08:00:00,T-3-8,26.4,79.3,6.0,3,0,22.99,Gejala Ringan
2026-07-03,08:00:00,T-3-9,24.9,83.2,5.6,3,0,25.84,Gejala Ringan
2026-07-03,08:00:00,T-3-10,25.5,74.5,5.1,3,0,25.41,Gejala Ringan
2026-07-03,08:00:00,T-3-11,30.6,81.8,5.7,3,0,24.96,Gejala Ringan
2026-07-03,08:00:00,T-3-12,28.9,93.6,5.4,3,0,30.15,Gejala Ringan
2026-07-03,08:00:00,T-3-13,31.2,72.8,5.7,3,0,22.21,Gejala Ringan
2026-07-03,08:00:00,T-3-14,29.0,84.4,6.2,3,0,23.68,Gejala Ringan
2026-07-03,08:00:00,T-3-15,29.9,90.0,5.3,3,0,29.53,Gejala Ringan
2026-07-03,08:00:00,T-3-16,28.4,93.5,5.6,3,0,29.04,Gejala Ringan
2026-07-03,08:00:00,T-3-17,24.3,70.9,5.8,3,0,21.26,Gejala Ringan
2026-07-04,08:00:00,T-0,29.9,88.3,6.4,0,0,100.00,Sehat
2026-07-04,08:00:00,T-1-0,27.2,84.9,5.3,1,0,99.00,Terinfeksi Berat
2026-07-04,08:00:00,T-1-1,30.7,85.8,5.2,1,0,99.00,Terinfeksi Berat
2026-07-04,08:00:00,T-1-2,26.3,79.5,6.0,1,0,86.13,Terinfeksi Berat
2026-07-04,08:00:00,T-1-3,25.4,77.7,5.0,1,0,99.00,Terinfeksi Berat
2026-07-04,08:00:00,T-1-4,27.1,85.7,6.1,1,0,91.32,Terinfeksi Berat
2026-07-04,08:00:00,T-1-5,29.6,86.7,5.4,1,0,99.00,Terinfeksi Berat
2026-07-04,08:00:00,T-2-0,30.0,87.2,5.8,2,0,42.54,Gejala Sedang
2026-07-04,08:00:00,T-2-1,27.6,89.9,5.1,2,0,49.87,Gejala Sedang
2026-07-04,08:00:00,T-2-2,24.3,90.8,6.0,2,0,42.82,Gejala Sedang
2026-07-04,08:00:00,T-2-3,30.5,92.0,6.2,2,0,41.98,Gejala Sedang
2026-07-04,08:00:00,T-2-4,28.7,65.1,5.9,2,0,31.22,Gejala Ringan
2026-07-04,08:00:00,T-2-5,24.7,86.4,5.7,2,0,42.89,Gejala Sedang
2026-07-04,08:00:00,T-2-6,30.1,85.2,6.0,2,0,40.18,Gejala Sedang
2026-07-04,08:00:00,T-2-7,24.8,72.3,5.2,2,0,39.34,Gejala Ringan
2026-07-04,08:00:00,T-2-8,30.2,84.0,5.7,2,0,41.69,Gejala Sedang
2026-07-04,08:00:00,T-2-9,27.0,91.3,5.6,2,0,46.13,Gejala Sedang
2026-07-04,08:00:00,T-2-10,25.2,81.6,6.2,2,0,37.24,Gejala Ringan
2026-07-04,08:00:00,T-2-11,26.5,87.4,5.9,2,0,41.91,Gejala Sedang
2026-07-04,08:00:00,T-3-0,27.8,72.1,6.4,3,0,19.59,Sehat
2026-07-04,08:00:00,T-3-1,26.3,76.9,5.5,3,0,24.32,Gejala Ringan
2026-07-04,08:00:00,T-3-2,24.1,86.4,5.9,3,0,25.47,Gejala Ringan
2026-07-04,08:00:00,T-3-3,29.4,79.1,5.5,3,0,25.01,Gejala Ringan
2026-07-04,08:00:00,T-3-4,26.3,80.8,5.1,3,0,27.56,Gejala Ringan
2026-07-04,08:00:00,T-3-5,24.7,86.5,6.4,3,0,23.51,Gejala Ringan
2026-07-04,08:00:00,T-3-6,25.2,70.0,6.1,3,0,19.96,Sehat
2026-07-04,08:00:00,T-3-7,31.8,66.6,5.9,3,0,19.63,Sehat
2026-07-04,08:00:00,T-3-8,29.9,83.1,5.2,3,0,27.79,Gejala Ringan
2026-07-04,08:00:00,T-3-9,24.1,86.7,6.5,3,0,23.20,Gejala Ringan
2026-07-04,08:00:00,T-3-10,25.6,89.9,5.5,3,0,28.43,Gejala Ringan
2026-07-04,08:00:00,T-3-11,30.9,73.3,5.0,3,0,25.50,Gejala Ringan
2026-07-04,08:00:00,T-3-12,29.8,76.9,5.6,3,0,23.88,Gejala Ringan
2026-07-04,08:00:00,T-3-13,26.5,68.8,6.5,3,0,18.41,Sehat
2026-07-04,08:00:00,T-3-14,27.0,78.1,6.4,3,0,21.22,Gejala Ringan
2026-07-04,08:00:00,T-3-15,26.6,93.8,5.4,3,0,30.21,Gejala Ringan
2026-07-04,08:00:00,T-3-16,28.1,82.8,5.1,3,0,28.24,Gejala Ringan
2026-07-04,08:00:00,T-3-17,30.3,92.1,6.4,3,0,25.03,Gejala Ringan
2026-07-05,08:00:00,T-0,26.0,92.8,6.0,0,0,100.00,Sehat
2026-07-05,08:00:00,T-1-0,26.0,86.3,5.8,1,0,96.72,Terinfeksi Berat
2026-07-05,08:00:00,T-1-1,29.5,77.3,6.4,1,0,78.51,Terinfeksi Berat
2026-07-05,08:00:00,T-1-2,26.0,89.4,5.5,1,0,99.00,Terinfeksi Berat
2026-07-05,08:00:00,T-1-3,24.8,71.3,6.1,1,0,75.98,Terinfeksi Berat
2026-07-05,08:00:00,T-1-4,29.2,75.9,6.3,1,0,78.31,Terinfeksi Berat
2026-07-05,08:00:00,T-1-5,31.9,68.7,5.8,1,0,76.99,Terinfeksi Berat
2026-07-05,08:00:00,T-2-0,24.5,66.6,5.4,2,0,34.89,Gejala Ringan
2026-07-05,08:00:00,T-2-1,25.9,71.8,6.1,2,0,33.30,Gejala Ringan
2026-07-05,08:00:00,T-2-2,24.3,86.6,5.5,2,0,44.55,Gejala Sedang
2026-07-05,08:00:00,T-2-3,28.8,82.7,6.5,2,0,36.00,Gejala Ringan
2026-07-05,08:00:00,T-2-4,24.9,73.1,6.3,2,0,32.83,Gejala Ringan
2026-07-05,08:00:00,T-2-5,28.9,67.4,6.5,2,0,29.34,Gejala Ringan
2026-07-05,08:00:00,T-2-6,31.9,91.7,5.1,2,0,50.87,Gejala Sedang
2026-07-05,08:00:00,T-2-7,28.4,69.8,5.3,2,0,37.26,Gejala Ringan
2026-07-05,08:00:00,T-2-8,24.6,82.2,5.2,2,0,44.72,Gejala Sedang
2026-07-05,08:00:00,T-2-9,28.0,71.8,5.8,2,0,35.02,Gejala Ringan
2026-07-05,08:00:00,T-2-10,27.7,92.6,6.0,2,0,43.67,Gejala Sedang
2026-07-05,08:00:00,T-2-11,27.7,86.0,6.4,2,0,38.02,Gejala Ringan
2026-07-05,08:00:00,T-3-0,25.9,75.5,6.0,3,0,21.89,Gejala Ringan
2026-07-05,08:00:00,T-3-1,30.3,89.9,6.4,3,0,24.43,Gejala Ringan
2026-07-05,08:00:00,T-3-2,25.5,72.4,6.3,3,0,19.99,Sehat
2026-07-05,08:00:00,T-3-3,28.8,94.0,5.6,3,0,29.19,Gejala Ringan
2026-07-05,08:00:00,T-3-4,27.7,68.8,5.9,3,0,20.28,Gejala Ringan
2026-07-05,08:00:00,T-3-5,24.0,71.9,6.0,3,0,20.84,Gejala Ringan
2026-07-05,08:00:00,T-3-6,25.2,73.2,5.9,3,0,21.58,Gejala Ringan
2026-07-05,08:00:00,T-3-7,24.6,74.8,6.3,3,0,20.65,Gejala Ringan
2026-07-05,08:00:00,T-3-8,27.8,79.3,5.3,3,0,26.02,Gejala Ringan
2026-07-05,08:00:00,T-3-9,27.7,94.4,6.2,3,0,26.48,Gejala Ringan
2026-07-05,08:00:00,T-3-10,26.1,80.7,5.8,3,0,24.20,Gejala Ringan
2026-07-05,08:00:00,T-3-11,29.8,81.6,5.5,3,0,25.80,Gejala Ringan
2026-07-05,08:00:00,T-3-12,30.5,88.3,6.2,3,0,24.77,Gejala Ringan
2026-07-05,08:00:00,T-3-13,29.8,80.4,5.7,3,0,24.53,Gejala Ringan
2026-07-05,08:00:00,T-3-14,29.3,68.1,6.2,3,0,19.10,Sehat
2026-07-05,08:00:00,T-3-15,29.9,70.4,5.1,3,0,24.01,Gejala Ringan
2026-07-05,08:00:00,T-3-16,30.9,78.4,6.3,3,0,21.64,Gejala Ringan
2026-07-05,08:00:00,T-3-17,26.2,94.5,5.0,3,0,32.87,Gejala Ringan
2026-07-06,08:00:00,T-0,28.9,84.0,5.2,0,0,100.00,Sehat
2026-07-06,08:00:00,T-1-0,26.0,85.2,5.5,1,0,99.00,Terinfeksi Berat
2026-07-06,08:00:00,T-1-1,30.6,84.1,6.1,1,0,89.61,Terinfeksi Berat
2026-07-06,08:00:00,T-1-2,30.8,78.3,5.9,1,0,86.26,Terinfeksi Berat
2026-07-06,08:00:00,T-1-3,28.1,83.7,5.3,1,0,99.00,Terinfeksi Berat
2026-07-06,08:00:00,T-1-4,25.6,72.8,5.9,1,0,80.20,Terinfeksi Berat
2026-07-06,08:00:00,T-1-5,26.9,83.1,5.7,1,0,94.76,Terinfeksi Berat
2026-07-06,08:00:00,T-2-0,26.0,70.3,6.1,2,0,32.61,Gejala Ringan
2026-07-06,08:00:00,T-2-1,30.9,78.4,5.4,2,0,41.08,Gejala Sedang
2026-07-06,08:00:00,T-2-2,31.2,92.7,6.5,2,0,40.35,Gejala Sedang
2026-07-06,08:00:00,T-2-3,29.4,92.8,5.1,2,0,51.48,Gejala Sedang
2026-07-06,08:00:00,T-2-4,29.8,79.1,5.8,2,0,38.59,Gejala Ringan
2026-07-06,08:00:00,T-2-5,29.4,75.3,5.8,2,0,36.73,Gejala Ringan
2026-07-06,08:00:00,T-2-6,29.6,77.1,6.0,2,0,36.36,Gejala Ringan
2026-07-06,08:00:00,T-2-7,28.5,78.7,6.4,2,0,34.79,Gejala Ringan
2026-07-06,08:00:00,T-2-8,25.6,81.7,5.6,2,0,41.28,Gejala Sedang
2026-07-06,08:00:00,T-2-9,31.9,88.3,5.4,2,0,46.26,Gejala Sedang
2026-07-06,08:00:00,T-2-10,30.9,83.2,5.8,2,0,40.59,Gejala Sedang
2026-07-06,08:00:00,T-2-11,26.0,82.9,5.2,2,0,45.11,Gejala Sedang
2026-07-06,08:00:00,T-3-0,30.1,93.4,5.1,3,0,31.85,Gejala Ringan
2026-07-06,08:00:00,T-3-1,24.0,91.5,5.5,3,0,28.94,Gejala Ringan
2026-07-06,08:00:00,T-3-2,29.9,79.2,6.3,3,0,21.87,Gejala Ringan
2026-07-06,08:00:00,T-3-3,27.7,78.4,5.4,3,0,25.25,Gejala Ringan
2026-07-06,08:00:00,T-3-4,28.3,84.6,6.0,3,0,24.52,Gejala Ringan
2026-07-06,08:00:00,T-3-5,25.1,73.8,6.0,3,0,21.39,Gejala Ringan
2026-07-06,08:00:00,T-3-6,28.5,75.3,5.7,3,0,22.98,Gejala Ringan
2026-07-06,08:00:00,T-3-7,24.2,85.6,5.8,3,0,25.67,Gejala Ringan
2026-07-06,08:00:00,T-3-8,28.9,88.3,5.9,3,0,26.03,Gejala Ringan
2026-07-06,08:00:00,T-3-9,31.6,73.5,5.3,3,0,24.12,Gejala Ringan
2026-07-06,08:00:00,T-3-10,26.0,72.4,5.0,3,0,25.18,Gejala Ringan
2026-07-06,08:00:00,T-3-11,30.9,70.6,5.3,3,0,23.17,Gejala Ringan
2026-07-06,08:00:00,T-3-12,27.7,89.5,5.6,3,0,27.80,Gejala Ringan
2026-07-06,08:00:00,T-3-13,24.8,67.4,5.1,3,0,22.99,Gejala Ringan
2026-07-06,08:00:00,T-3-14,26.1,80.8,5.1,3,0,27.56,Gejala Ringan
2026-07-06,08:00:00,T-3-15,30.2,75.2,5.7,3,0,22.95,Gejala Ringan
2026-07-06,08:00:00,T-3-16,25.4,83.1,6.3,3,0,22.94,Gejala Ringan
2026-07-06,08:00:00,T-3-17,26.8,73.4,5.1,3,0,25.03,Gejala Ringan
2026-07-07,08:00:00,T-0,29.2,66.7,5.9,0,0,100.00,Sehat
2026-07-07,08:00:00,T-1-0,30.6,91.6,5.7,1,0,99.00,Terinfeksi Berat
2026-07-07,08:00:00,T-1-1,28.5,90.5,6.2,1,0,94.88,Terinfeksi Berat
2026-07-07,08:00:00,T-1-2,26.3,67.2,6.5,1,0,67.20,Gejala Sedang
2026-07-07,08:00:00,T-1-3,25.4,81.8,5.2,1,0,99.00,Terinfeksi Berat
2026-07-07,08:00:00,T-1-4,28.6,78.7,5.3,1,0,96.52,Terinfeksi Berat
2026-07-07,08:00:00,T-1-5,26.5,80.6,5.5,1,0,95.25,Terinfeksi Berat
2026-07-07,08:00:00,T-2-0,28.8,85.7,5.2,2,0,46.63,Gejala Sedang
2026-07-07,08:00:00,T-2-1,27.0,80.7,5.8,2,0,39.37,Gejala Ringan
2026-07-07,08:00:00,T-2-2,28.3,89.7,5.0,2,0,50.76,Gejala Sedang
2026-07-07,08:00:00,T-2-3,26.4,69.5,6.3,2,0,31.21,Gejala Ringan
2026-07-07,08:00:00,T-2-4,27.2,74.6,6.0,2,0,35.18,Gejala Ringan
2026-07-07,08:00:00,T-2-5,27.5,77.9,5.2,2,0,42.38,Gejala Sedang
2026-07-07,08:00:00,T-2-6,29.0,70.3,6.4,2,0,31.08,Gejala Ringan
2026-07-07,08:00:00,T-2-7,29.3,75.5,5.3,2,0,40.30,Gejala Sedang
2026-07-07,08:00:00,T-2-8,25.2,79.5,5.9,2,0,38.12,Gejala Ringan
2026-07-07,08:00:00,T-2-9,30.7,69.4,5.7,2,0,34.45,Gejala Ringan
2026-07-07,08:00:00,T-2-10,30.6,83.5,6.4,2,0,36.91,Gejala Ringan
2026-07-07,08:00:00,T-2-11,26.2,87.2,6.1,2,0,40.44,Gejala Sedang
2026-07-07,08:00:00,T-3-0,25.3,88.7,5.8,3,0,26.60,Gejala Ringan
2026-07-07,08:00:00,T-3-1,29.1,90.3,5.5,3,0,28.56,Gejala Ringan
2026-07-07,08:00:00,T-3-2,29.5,84.1,5.3,3,0,27.60,Gejala Ringan
2026-07-07,08:00:00,T-3-3,28.9,66.8,5.2,3,0,22.34,Gejala Ringan
2026-07-07,08:00:00,T-3-4,26.8,87.1,6.2,3,0,24.43,Gejala Ringan
2026-07-07,08:00:00,T-3-5,29.8,87.5,5.9,3,0,25.79,Gejala Ringan
2026-07-07,08:00:00,T-3-6,25.4,68.6,6.1,3,0,19.56,Sehat
2026-07-07,08:00:00,T-3-7,28.5,66.1,6.2,3,0,18.54,Sehat
2026-07-07,08:00:00,T-3-8,28.0,85.5,5.4,3,0,27.54,Gejala Ringan
2026-07-07,08:00:00,T-3-9,26.7,70.0,5.2,3,0,23.41,Gejala Ringan
2026-07-07,08:00:00,T-3-10,27.6,75.6,5.1,3,0,25.78,Gejala Ringan
2026-07-07,08:00:00,T-3-11,31.5,70.0,5.7,3,0,21.36,Gejala Ringan
2026-07-07,08:00:00,T-3-12,31.9,82.6,6.3,3,0,22.80,Gejala Ringan
2026-07-07,08:00:00,T-3-13,28.2,80.2,5.8,3,0,24.05,Gejala Ringan
2026-07-07,08:00:00,T-3-14,31.4,91.9,5.7,3,0,28.04,Gejala Ringan
2026-07-07,08:00:00,T-3-15,26.0,78.2,5.2,3,0,26.16,Gejala Ringan
2026-07-07,08:00:00,T-3-16,26.3,74.3,5.1,3,0,25.34,Gejala Ringan
2026-07-07,08:00:00,T-3-17,30.7,85.9,5.4,3,0,27.67,Gejala Ringan
2026-07-08,08:00:00,T-0,29.5,67.2,6.5,0,0,100.00,Sehat
2026-07-08,08:00:00,T-1-0,29.8,77.0,5.4,1,0,92.69,Terinfeksi Berat
2026-07-08,08:00:00,T-1-1,25.3,90.8,6.1,1,0,96.75,Terinfeksi Berat
2026-07-08,08:00:00,T-1-2,28.3,82.7,5.3,1,0,99.00,Terinfeksi Berat
2026-07-08,08:00:00,T-1-3,26.3,79.8,5.0,1,0,99.00,Terinfeksi Berat
2026-07-08,08:00:00,T-1-4,25.7,84.8,6.1,1,0,90.36,Terinfeksi Berat
2026-07-08,08:00:00,T-1-5,30.1,92.4,5.2,1,0,99.00,Terinfeksi Berat
2026-07-08,08:00:00,T-2-0,30.6,78.1,5.8,2,0,38.10,Gejala Ringan
2026-07-08,08:00:00,T-2-1,28.9,74.3,5.3,2,0,39.66,Gejala Ringan
2026-07-08,08:00:00,T-2-2,27.5,89.2,5.2,2,0,48.53,Gejala Sedang
2026-07-08,08:00:00,T-2-3,25.8,68.9,6.0,2,0,32.49,Gejala Ringan
2026-07-08,08:00:00,T-2-4,24.9,86.3,5.4,2,0,45.22,Gejala Sedang
2026-07-08,08:00:00,T-2-5,31.4,93.5,5.8,2,0,45.61,Gejala Sedang
2026-07-08,08:00:00,T-2-6,31.4,86.9,6.1,2,0,40.31,Gejala Sedang
2026-07-08,08:00:00,T-2-7,26.8,79.1,5.6,2,0,39.96,Gejala Ringan
2026-07-08,08:00:00,T-2-8,28.6,70.9,5.5,2,0,36.47,Gejala Ringan
2026-07-08,08:00:00,T-2-9,30.6,82.2,5.6,2,0,41.53,Gejala Sedang
2026-07-08,08:00:00,T-2-10,29.3,84.1,5.2,2,0,45.76,Gejala Sedang
2026-07-08,08:00:00,T-2-11,31.5,70.9,5.2,2,0,38.58,Gejala Ringan
2026-07-08,08:00:00,T-3-0,31.6,91.5,5.4,3,0,29.47,Gejala Ringan
2026-07-08,08:00:00,T-3-1,25.9,89.2,5.9,3,0,26.30,Gejala Ringan
2026-07-08,08:00:00,T-3-2,26.2,73.9,5.9,3,0,21.79,Gejala Ringan
2026-07-08,08:00:00,T-3-3,27.3,71.9,5.8,3,0,21.56,Gejala Ringan
2026-07-08,08:00:00,T-3-4,29.8,87.3,5.0,3,0,30.37,Gejala Ringan
2026-07-08,08:00:00,T-3-5,27.6,80.8,5.2,3,0,27.03,Gejala Ringan
2026-07-08,08:00:00,T-3-6,29.0,80.6,6.3,3,0,22.25,Gejala Ringan
2026-07-08,08:00:00,T-3-7,31.1,89.3,6.3,3,0,24.65,Gejala Ringan
2026-07-08,08:00:00,T-3-8,27.7,69.2,6.2,3,0,19.41,Sehat
2026-07-08,08:00:00,T-3-9,31.6,91.3,5.6,3,0,28.36,Gejala Ringan
2026-07-08,08:00:00,T-3-10,25.7,66.3,5.9,3,0,19.54,Sehat
2026-07-08,08:00:00,T-3-11,31.9,74.1,6.2,3,0,20.79,Gejala Ringan
2026-07-08,08:00:00,T-3-12,24.4,79.0,6.3,3,0,21.81,Gejala Ringan
2026-07-08,08:00:00,T-3-13,25.0,88.1,5.9,3,0,25.97,Gejala Ringan
2026-07-08,08:00:00,T-3-14,27.6,65.6,6.0,3,0,19.02,Sehat
2026-07-08,08:00:00,T-3-15,24.6,68.3,5.7,3,0,20.84,Gejala Ringan
2026-07-08,08:00:00,T-3-16,28.0,81.3,6.3,3,0,22.44,Gejala Ringan
2026-07-08,08:00:00,T-3-17,30.1,88.9,6.0,3,0,25.77,Gejala Ringan
2026-07-09,08:00:00,T-0,31.5,85.9,5.2,0,0,100.00,Sehat
2026-07-09,08:00:00,T-1-0,31.0,82.2,5.2,1,0,99.00,Terinfeksi Berat
2026-07-09,08:00:00,T-1-1,31.1,88.4,5.8,1,0,99.00,Terinfeksi Berat
2026-07-09,08:00:00,T-1-2,28.9,81.6,5.1,1,0,99.00,Terinfeksi Berat
2026-07-09,08:00:00,T-1-3,26.3,84.7,6.3,1,0,87.39,Terinfeksi Berat
2026-07-09,08:00:00,T-1-4,30.6,74.9,6.3,1,0,77.28,Terinfeksi Berat
2026-07-09,08:00:00,T-1-5,30.9,66.7,6.2,1,0,69.93,Gejala Sedang
2026-07-09,08:00:00,T-2-0,29.1,84.2,5.9,2,0,40.38,Gejala Sedang
2026-07-09,08:00:00,T-2-1,30.9,75.3,6.1,2,0,34.93,Gejala Ringan
2026-07-09,08:00:00,T-2-2,30.4,81.0,5.5,2,0,41.67,Gejala Sedang
2026-07-09,08:00:00,T-2-3,28.8,89.9,6.0,2,0,42.39,Gejala Sedang
2026-07-09,08:00:00,T-2-4,29.3,68.5,5.6,2,0,34.61,Gejala Ringan
2026-07-09,08:00:00,T-2-5,31.6,94.3,5.5,2,0,48.51,Gejala Sedang
2026-07-09,08:00:00,T-2-6,27.3,67.8,5.4,2,0,35.52,Gejala Ringan
2026-07-09,08:00:00,T-2-7,25.6,86.6,5.7,2,0,42.99,Gejala Sedang
2026-07-09,08:00:00,T-2-8,30.3,78.6,6.4,2,0,34.75,Gejala Ringan
2026-07-09,08:00:00,T-2-9,31.0,94.2,6.0,2,0,44.42,Gejala Sedang
2026-07-09,08:00:00,T-2-10,27.4,67.6,5.2,2,0,36.78,Gejala Ringan
2026-07-09,08:00:00,T-2-11,30.2,78.3,6.2,2,0,35.73,Gejala Ringan
2026-07-09,08:00:00,T-3-0,26.0,90.6,6.5,3,0,24.24,Gejala Ringan
2026-07-09,08:00:00,T-3-1,31.6,74.3,5.3,3,0,24.38,Gejala Ringan
2026-07-09,08:00:00,T-3-2,24.9,80.7,6.3,3,0,22.28,Gejala Ringan
2026-07-09,08:00:00,T-3-3,29.5,69.0,5.0,3,0,24.00,Gejala Ringan
2026-07-09,08:00:00,T-3-4,25.4,71.6,5.1,3,0,24.42,Gejala Ringan
2026-07-09,08:00:00,T-3-5,27.8,74.4,5.5,3,0,23.53,Gejala Ringan
2026-07-09,08:00:00,T-3-6,29.0,77.7,6.5,3,0,20.79,Gejala Ringan
2026-07-09,08:00:00,T-3-7,24.8,86.4,5.8,3,0,25.91,Gejala Ringan
2026-07-09,08:00:00,T-3-8,24.5,83.8,5.2,3,0,28.03,Gejala Ringan
2026-07-09,08:00:00,T-3-9,31.0,86.6,6.0,3,0,25.10,Gejala Ringan
